Type;Address;IstOpcode;SollOpcode;IstCommand;SollCommand
A;0x1FDC6;0x86C5;0xFFFF;BSF SSP1CON2, 3, ACCESS;NOP
A;0x1FDC8;0xB6C5;0xFFFF;BTFSC SSP1CON2, 3, ACCESS;NOP
A;0x1FDCA;0xD7FE;0xFFFF;BRA 0xFDC8;NOP
A;0x1FDCC;0x50C9;0xFFFF;MOVF SSP1BUF, W, ACCESS;NOP
A;0x1FDCE;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FDD0;0x9AC5;0xFFFF;BCF SSP1CON2, 5, ACCESS;NOP
A;0x1FDD2;0x88C5;0xFFFF;BSF SSP1CON2, 4, ACCESS;NOP
A;0x1FDD4;0xA8C5;0xFFFF;BTFSS SSP1CON2, 4, ACCESS;NOP
A;0x1FDD6;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FDD8;0xD7FD;0xFFFF;BRA 0xFDD4;NOP
A;0x1FDDA;0xB25F;0xFFFF;BTFSC 0x5F, 1, ACCESS;NOP
A;0x1FDDC;0xEF10;0xFFFF;GOTO 0x12E20;NOP
B;0x1FDDE;0xF097;0xFFFF;NOP;NOP
A;0x1FDE0;0x0E01;0xFFFF;MOVLW 0x1;NOP
A;0x1FDE2;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FDE4;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x1FDE6;0x6F60;0xFFFF;MOVWF 0x60, BANKED;NOP
A;0x1FDE8;0xC060;0xFFFF;MOVFF 0x60, SSP1BUF;NOP
B;0x1FDEA;0xFFC9;0xFFFF;NOP;NOP
A;0x1FDEC;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FDEE;0x84C5;0xFFFF;BSF SSP1CON2, 2, ACCESS;NOP
A;0x1FDF0;0xA4C5;0xFFFF;BTFSS SSP1CON2, 2, ACCESS;NOP
A;0x1FDF2;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FDF4;0xD7FD;0xFFFF;BRA 0xFDF0;NOP
A;0x1FDF6;0x80C5;0xFFFF;BSF SSP1CON2, 0, ACCESS;NOP
A;0x1FDF8;0xA0C5;0xFFFF;BTFSS SSP1CON2, 0, ACCESS;NOP
A;0x1FDFA;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FDFC;0xD7FD;0xFFFF;BRA 0xFDF8;NOP
A;0x1FDFE;0x98F0;0xFFFF;BCF INTCON3, 4, ACCESS;NOP
A;0x1FE00;0x9AF0;0xFFFF;BCF INTCON3, 5, ACCESS;NOP
A;0x1FE02;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FE04;0x0101;0xFFFF;MOVLB 0x1;NOP
A;0x1FE06;0x51EF;0xFFFF;MOVF 0xEF, W, BANKED;NOP
A;0x1FE08;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FE0A;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x1FE0C;0x51FD;0xFFFF;MOVF 0xFD, W, BANKED;NOP
A;0x1FE0E;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FE10;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x1FE12;0x51FF;0xFFFF;MOVF 0xFF, W, BANKED;NOP
A;0x1FE14;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FE16;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x1FE18;0x51FE;0xFFFF;MOVF 0xFE, W, BANKED;NOP
A;0x1FE1A;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FE1C;0x0E00;0xFFFF;MOVLW 0x0;NOP
A;0x1FE1E;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FE20;0x0E01;0xFFFF;MOVLW 0x1;NOP
A;0x1FE22;0x0012;0xFFFF;RETURN 0;NOP
A;0x1FE24;0xEF95;0xFFFF;GOTO 0x12B2A;NOP
